pet_id,date,activity_type,duration_minutes,issue,resolution,owner_id,owner_age_group,pet_type
9,2022-06-01,Playing,80.0,,,1451,46-55,Hamster
9,2023-01-13,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1451,46-55,Hamster
9,2023-08-02,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",1451,46-55,Hamster
9,2023-12-01,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",1451,46-55,Hamster
9,2023-12-15,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",1451,46-55,Hamster
83,2022-05-25,Playing,41.0,,,6916,26-35,Hamster
83,2022-06-16,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",6916,26-35,Hamster
83,2022-09-20,Playing,54.0,,,6916,26-35,Hamster
83,2022-11-05,Resting,32.0,,,6916,26-35,Hamster
83,2022-11-26,Playing,54.0,,,6916,26-35,Hamster
83,2023-10-18,Playing,10.0,,,6916,26-35,Hamster
121,2022-10-24,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",3596,18-25,Rabbit
121,2022-12-04,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,3596,18-25,Rabbit
150,2022-09-26,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,8605,26-35,Rabbit
150,2023-10-04,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,8605,26-35,Rabbit
209,2022-09-11,Resting,20.0,,,9137,56-65,Fish
209,2023-11-01,Walking,69.0,,,9137,56-65,Fish
209,2023-11-15,Walking,61.0,,,9137,56-65,Fish
215,2022-12-10,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",8458,26-35,Dog
215,2022-12-14,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",8458,26-35,Dog
217,2022-12-09,Walking,,,,9887,26-35,Dog
217,2022-12-10,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",9887,26-35,Dog
217,2023-05-20,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",9887,26-35,Dog
217,2023-06-01,Resting,,,,9887,26-35,Dog
217,2023-06-12,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",9887,26-35,Dog
236,2022-05-04,Resting,39.0,,,6300,18-25,Fish
236,2022-06-03,Health,0.0,Injury,"Minor surgery performed, recovery monitored",6300,18-25,Fish
