index,pet_id,date,activity_type,duration_minutes,issue,resolution,owner_id,owner_age_group,pet_type
196,6518,2023-01-25,Resting,85.0,,,12,46-55,Dog
1866,6518,2023-03-11,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",12,46-55,Dog
1201,6518,2023-03-26,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",12,46-55,Dog
547,6518,2023-09-12,Resting,29.0,,,12,46-55,Dog
1766,6518,2023-09-22,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",12,46-55,Dog
1545,3370,2022-07-30,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",13,66+,Hamster
364,3370,2022-11-25,Walking,78.0,,,13,66+,Hamster
1007,3370,2023-06-20,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",13,66+,Hamster
1056,3370,2023-09-04,Health,0.0,Ear Infection,Medication and follow-up in 2 weeks for infection,13,66+,Hamster
1783,2729,2022-08-14,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",26,46-55,Rabbit
1705,2729,2022-09-24,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",26,46-55,Rabbit
1341,2729,2023-04-09,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,26,46-55,Rabbit
1703,2729,2023-06-07,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,26,46-55,Rabbit
256,2729,2023-09-04,Playing,50.0,,,26,46-55,Rabbit
1034,2513,2022-10-24,Health,0.0,Injury,Physical therapy recommended for joint issues,27,46-55,Dog
1316,2513,2023-03-14,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",27,46-55,Dog
941,2513,2023-03-18,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",27,46-55,Dog
1260,4056,2023-01-10,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",58,46-55,Hamster
1755,8353,2022-06-22,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",94,18-25,Fish
851,8353,2022-11-03,Playing,83.0,,,94,18-25,Fish
1733,8353,2023-05-03,Health,0.0,Injury,Physical therapy recommended for joint issues,94,18-25,Fish
976,8353,2023-08-18,Health,0.0,Annual Checkup,"All clear, healthy diet recommended",94,18-25,Fish
453,8353,2023-12-24,Playing,79.0,,,94,18-25,Fish
1659,1968,2022-11-26,Health,0.0,Injury,"Sprain identified, rest and limited movement advised",109,26-35,Cat
1590,1968,2022-12-11,Health,0.0,Annual Checkup,"Vaccination completed, next due in 1 year",109,26-35,Cat
1309,5037,2022-07-10,Health,0.0,Annual Checkup,Diet adjustment recommended for weight management,119,26-35,Fish
1686,5037,2022-12-22,Health,0.0,Dental Cleaning,"Cleaning done, no dental issues",119,26-35,Fish
